player_id,name,week,ppr_points,position,team,season
00-0034383,Dalton Schultz,1,4.6,TE,HOU,2024
00-0038040,Zamir White,1,4.6,RB,LV,2024
00-0038705,Emari Demercado,1,4.6,RB,ARI,2024
00-0038041,Jake Ferguson,1,4.5,TE,DAL,2024
00-0036963,Amon-Ra St. Brown,1,4.3,WR,DET,2024
00-0039062,Jonathan Mingo,1,4.3,WR,CAR,2024
00-0036139,Rico Dowdle,1,4.2,RB,DAL,2024
00-0038563,Tre Tucker,1,4.2,WR,LV,2024
00-0034775,Christian Kirk,1,4.0,WR,JAX,2024
00-0037228,Jaylen Warren,1,4.0,RB,PIT,2024
00-0031687,Raheem Mostert,1,3.9,RB,MIA,2024
00-0035216,Diontae Johnson,1,3.9,WR,CAR,2024
00-0036980,Elijah Moore,1,3.9,WR,CLE,2024
00-0038543,Jaxon Smith-Njigba,1,3.9,WR,SEA,2024
00-0033090,Hunter Henry,1,3.8,TE,NE,2024
00-0034184,Gus Edwards,1,3.8,RB,LAC,2024
00-0038738,Hunter Luepke,1,3.8,FB,DAL,2024
00-0035659,Terry McLaurin,1,3.7,WR,WAS,2024
00-0039875,Ray Davis,1,3.7,RB,BUF,2024
00-0031544,Amari Cooper,1,3.6,WR,CLE,2024
00-0033246,Johnny Mundt,1,3.5,TE,MIN,2024
00-0033282,Curtis Samuel,1,3.5,WR,BUF,2024
00-0034386,Justin Watson,1,3.5,WR,KC,2024
00-0036988,Josh Palmer,1,3.5,WR,LAC,2024
00-0037238,Drake London,1,3.5,WR,ATL,2024
00-0034753,Mark Andrews,1,3.4,TE,BAL,2024
00-0035689,Dawson Knox,1,3.3,TE,BUF,2024
00-0036997,Javonte Williams,1,3.3,RB,DEN,2024
00-0037252,Greg Dulcich,1,3.2,TE,DEN,2024
00-0038621,Demario Douglas,1,3.2,WR,NE,2024
00-0039041,Elijah Higgins,1,3.2,TE,ARI,2024
00-0032394,Nick Vannett,1,3.1,TE,TEN,2024
00-0035644,Noah Fant,1,3.1,TE,SEA,2024
