player_id,name,position,projected_points
4569173,Rhamondre Stevenson,RB,174.07209678
3116365,Mark Andrews,TE,173.34088155
4241985,J.K. Dobbins,RB,171.59159907
4040655,Darnell Mooney,WR,170.87096472
3051876,Evan Engram,TE,168.82278631
4429205,Jordan Addison,WR,167.44665173
4241372,Hollywood Brown,WR,166.7707895
4431459,Tyler Warren,TE,166.495673
4369863,Cedric Tillman,WR,166.24030977
4430034,Xavier Legette,WR,165.52733951
4575131,Jacory Croskey-Merritt,RB,163.57871125
4428331,Rashee Rice,WR,162.85967698
4877706,Jayden Higgins,WR,162.40721352
4361579,Javonte Williams,RB,161.9249041
4572680,Tucker Kraft,TE,160.3609406
3121023,Dallas Goedert,TE,156.71780261
4723086,Colston Loveland,TE,155.74999181
4569587,Wan'Dale Robinson,WR,152.2628523
4686472,Marvin Mims Jr.,WR,149.16020546
4242355,Jake Ferguson,TE,148.95888765
4385690,Dalton Kincaid,TE,147.31434501
3046439,Hunter Henry,TE,147.14707852
3150744,Chase McLaughlin,K,146.87200237
4689936,Jake Bates,K,146.36427643
4362081,Cameron Dicker,K,143.78783814
4243331,Cade Otton,TE,142.75349013
4372019,Jerome Ford,RB,142.46805271
4360248,Kyle Pitts Sr.,TE,142.32238782
3953687,Brandon Aubrey,K,142.2223699
4696981,Cam Skattebo,RB,141.77398622
4695883,Jalen Coker,WR,141.73899354
3917232,Tyler Bass,K,141.39086674
3050478,Jake Elliott,K,141.17207432
15835,Zach Ertz,TE,140.65093429
17427,Cairo Santos,K,140.4634991
4427095,DeMario Douglas,WR,140.44076013
4426339,Spencer Rattler,QB,140.3640213
4697745,Tyler Loop,K,140.18706619
4249087,Matt Gay,K,139.86941208
4430539,Brenton Strange,TE,139.60269562
2576925,Darren Waller,TE,139.31750965
3055899,Harrison Butker,K,138.4422924
17372,Chris Boswell,K,138.35117383
4566192,Joshua Karty,K,137.32913512
4426385,Zach Charbonnet,RB,137.17257403
10621,Nick Folk,K,136.87616572
16339,Brandon McManus,K,136.65282253
2473037,Jason Myers,K,136.5117051
4360939,Rashod Bateman,WR,135.94882737
2971573,Ka'imi Fairbairn,K,135.89556405
4686361,Cam Little,K,135.83740544
4360635,Chig Okonkwo,TE,135.59872325
2985659,Wil Lutz,K,135.28337285
3895856,Christian Kirk,WR,135.05272763
3054212,Jonnu Smith,TE,134.74206414
4360569,Jordan Mason,RB,133.98051334
4567104,Will Reichard,K,133.9677404
4361411,Pat Freiermuth,TE,133.68011621
-16023,Steelers D/ST,DST,132.73960951
4685702,Quinshon Judkins,RB,132.5158826
4360234,Evan McPherson,K,132.50037548
4571557,Spencer Shrader,K,132.49546734
4239996,Travis Etienne Jr.,RB,131.94829051
4689114,Jaxson Dart,QB,131.03305935
3051909,Daniel Carlson,K,130.21382945
-16007,Broncos D/ST,DST,130.11236223
4808766,Mason Taylor,TE,129.31483407
-16034,Texans D/ST,DST,128.92563915
4569923,Andy Borregales,K,128.86946654
4363538,Chad Ryland,K,128.11147464
4697815,Rachaad White,RB,127.91413803
4361432,Romeo Doubs,WR,126.76107034
3049899,Younghoe Koo,K,126.61850336
4259619,Blake Grupe,K,126.54346087
4568263,Ryan Fitzgerald,K,126.49026351
3117256,Dalton Schultz,TE,126.16557875
4372066,Jake Moody,K,124.68859775
3124084,Joey Slye,K,124.44307032
4429275,Trey Benson,RB,124.43777489
2573401,Tyler Higbee,TE,124.23909292
12460,Graham Gano,K,123.64533531
4429148,Theo Johnson,TE,121.76109485
-16033,Ravens D/ST,DST,121.50056514
-16016,Vikings D/ST,DST,121.17480847
4242433,Joshua Palmer,WR,120.44610237
-16008,Lions D/ST,DST,120.14902628
3128720,Nick Chubb,RB,119.88566179
4258620,Andre Szmyt,K,119.8445763
14881,Russell Wilson,QB,119.44060407
4428557,Tyjae Spears,RB,118.97589282
3116385,Joe Mixon,RB,118.25231794
-16026,Seahawks D/ST,DST,118.02565434
3929645,Juwan Johnson,TE,117.40035694
4678006,Elijah Arroyo,TE,117.32859843
3916945,Darius Slayton,WR,115.92367786
4360761,Michael Wilson,WR,115.85732613
3116164,Mike Gesicki,TE,115.60052274
4360797,Tutu Atwell,WR,114.42450285
-16017,Patriots D/ST,DST,114.19989225
4360438,Brandon Aiyuk,WR,112.53637173
3115306,Josh Reynolds,WR,111.37349422
3929785,Nick Westbrook-Ikhine,WR,108.95921017
3728262,Ray-Ray McCloud III,WR,108.82828096
-16011,Colts D/ST,DST,108.68772628
4038441,Justice Hill,RB,108.21345535
3124679,Jason Sanders,K,107.95489157
4686612,Tre' Harris,WR,107.44121251
4361577,Dyami Brown,WR,107.37375156
4243389,Calvin Austin III,WR,107.32275121
16460,Adam Thielen,WR,107.05350449
-16027,Buccaneers D/ST,DST,106.46969047
4882093,Bhayshul Tuten,RB,106.26371271
4429013,Tank Bigsby,RB,105.99884284
4685279,Jaydon Blue,RB,103.97751818
-16019,Giants D/ST,DST,103.30897605
11252,Joe Flacco,QB,103.2691776
3121409,Noah Brown,WR,103.1626605
-16002,Bills D/ST,DST,103.01799559
4431588,Ja'Tavion Sanders,TE,102.25274059
-16022,Cardinals D/ST,DST,100.83801619
2976499,Amari Cooper,WR,100.20414182
4360689,Tyler Shough,QB,100.08546078
-16021,Eagles D/ST,DST,99.60932969
4361050,Isaiah Likely,TE,99.36871292
2577327,Tyler Lockett,WR,99.07980456
4429025,Quentin Johnston,WR,98.57549006
-16020,Jets D/ST,DST,98.50784669
4373626,Tyler Allgeier,RB,97.58002165
-16012,Chiefs D/ST,DST,96.73144961
4600981,Pat Bryant,WR,95.52263093
4241457,Najee Harris,RB,94.87573851
4685247,Braelon Allen,RB,93.39387853
4685278,Luther Burden III,WR,92.57619364
-16003,Bears D/ST,DST,91.5902289
-16014,Rams D/ST,DST,89.34439576
15795,DeAndre Hopkins,WR,88.69517758
-16030,Jaguars D/ST,DST,87.14481509
4036131,Noah Fant,TE,85.36468421
-16009,Packers D/ST,DST,84.70637109
4597500,Adonai Mitchell,WR,84.53310923
5081397,Dylan Sampson,RB,84.10251267
4711533,Ollie Gordon II,RB,83.89210171
4038815,Rico Dowdle,RB,83.72609215
-16006,Cowboys D/ST,DST,82.76033857
4576297,AJ Barner,TE,81.34970516
4429501,Ray Davis,RB,81.27970534
4426386,Roschon Johnson,RB,80.5543474
4599739,Kendre Miller,RB,80.50606517
4431280,Troy Franklin,WR,79.71664469
4883647,Elic Ayomanor,WR,79.14217115
-16015,Dolphins D/ST,DST,78.11478467
